id,n_victimas,fecha,mm,hora,hh,tipo_de_calle,comuna,longitud,latitud,participantes,victima,acusado
2016-0001,1,2016-01-01,1,4:00:00,4,AVENIDA,8,-58.47533969,-34.68757022,MOTO-AUTO,MOTO,AUTO
2016-0002,1,2016-01-02,1,1:15:00,1,GRAL PAZ,9,-58.50877521,-34.66977709,AUTO-PASAJEROS,AUTO,PASAJEROS
2016-0003,1,2016-01-03,1,7:00:00,7,AVENIDA,1,-58.39040293,-34.63189362,MOTO-AUTO,MOTO,AUTO
2016-0004,1,2016-01-10,1,0:00:00,0,AVENIDA,8,-58.46503904,-34.68092974,MOTO-SD,MOTO,SD
2016-0005,1,2016-01-21,1,5:20:00,5,AVENIDA,1,-58.38718297,-34.62246630,MOTO-PASAJEROS,MOTO,PASAJEROS
2016-0008,1,2016-01-24,1,18:30:00,18,AVENIDA,8,-58.44451316,-34.68475866,MOTO-OBJETO FIJO,MOTO,OBJETO FIJO
2016-0009,1,2016-01-24,1,19:10:00,19,CALLE,11,-58.50095869,-34.60825440,MOTO-AUTO,MOTO,AUTO
2016-0010,1,2016-01-29,1,15:20:00,15,GRAL PAZ,9,-58.50877521,-34.66977709,MOTO-AUTO,MOTO,AUTO
2016-0012,1,2016-02-08,2,1:20:00,1,AVENIDA,1,-58.38048577,-34.61303893,MOTO-CARGAS,MOTO,CARGAS
2016-0013,1,2016-02-10,2,11:30:00,11,AVENIDA,1,-58.39114932,-34.62477387,PEATON-AUTO,PEATON,AUTO
2016-0015,1,2016-02-14,2,5:14:00,5,AVENIDA,15,-58.43760020,-34.59912758,PEATON-AUTO,PEATON,AUTO
2016-0016,1,2016-02-14,2,22:00:00,22,AVENIDA,4,-58.36882665,-34.64291993,MOTO-AUTO,MOTO,AUTO
2016-0017,1,2016-02-15,2,16:54:00,16,AVENIDA,8,-58.44989671,-34.65970435,PEATON-MOTO,PEATON,MOTO
2016-0019,1,2016-02-17,2,9:30:00,9,CALLE,9,-58.50990884,-34.65468721,PEATON-PASAJEROS,PEATON,PASAJEROS
2016-0020,1,2016-02-17,2,16:00:00,16,CALLE,1,-58.37952223,-34.60653282,PEATON-AUTO,PEATON,AUTO
2016-0021,1,2016-02-17,2,23:35:00,23,AVENIDA,7,-58.45157703,-34.63063795,AUTO-AUTO,AUTO,AUTO
